job_id,title,company_name,company_name_normalized,location,location_normalized,work_mode,posted_at,employment_type,seniority_level,offered_salary_min,offered_salary_max,offered_salary_currency,salary_period,salary_is_predicted,offered_salary_min_usd,offered_salary_max_usd,benefits,benefits_normalized,skill_score,semantic_score,score_total,matched_skills,status,apply_url,geocode_lat,geocode_lon
adzuna:5404295486,"Agile Program Manager, Adobe Experience Platform (AEP)",ServiceNow,,"Santa Clara, Santa Clara County",,onsite,2025-09-17,,,113415.9,113415.9,USD,yearly,,113415.9,113415.9,,,0.0,0.7552539706230164,0.4553,"program management, stakeholder management, risk management",new,https://www.adzuna.com/details/5404295486?utm_medium=api&utm_source=e1a466cc,37.353966,-121.952999
adzuna:5401221728,Senior Program Manager - Construction Management (Anticipated Opening),Turner & Townsend,,"Santa Clara, Santa Clara County",,onsite,2025-09-16,,,140156.83,140156.83,USD,yearly,,140156.83,140156.83,,,0.0,0.714878037571907,0.4211,"program management, product management, risk management",new,https://www.adzuna.com/details/5401221728?utm_medium=api&utm_source=e1a466cc,37.353966,-121.952999
adzuna:5401221710,Senior Program Manager - Construction Management (Anticipated Opening),Turner & Townsend,,"San Jose, Santa Clara County",,onsite,2025-09-16,,,144449.03,144449.03,USD,yearly,,144449.03,144449.03,,,0.0,0.714878037571907,0.4211,"program management, product management, risk management",new,https://www.adzuna.com/details/5401221710?utm_medium=api&utm_source=e1a466cc,37.390494,-121.885434
adzuna:5402907688,"Staff Program Manager, Autonomous Vehicle & Active Safety",General Motors,,"Mountain View, Santa Clara County",,hybrid,2025-09-17,,,95675.78,95675.78,USD,yearly,,95675.78,95675.78,,,0.0,0.6385684013366699,0.4145,,new,https://www.adzuna.com/details/5402907688?utm_medium=api&utm_source=e1a466cc,37.378535,-122.086585
adzuna:5401628650,Senior Program Manager - Construction Management (Anticipated Opening),Turner & Townsend,,"Holy, Santa Clara County",,onsite,2025-09-16,,,166545.78,166545.78,USD,yearly,,166545.78,166545.78,,,0.0,0.6873628199100494,0.4114,,new,https://www.adzuna.com/details/5401628650?utm_medium=api&utm_source=e1a466cc,37.396999,-121.953652
adzuna:5401628638,Senior Program Manager - Construction Management (Anticipated Opening),Turner & Townsend,,"Campbell, Santa Clara County",,onsite,2025-09-16,,,158970.62,158970.62,USD,yearly,,158970.62,158970.62,,,0.0,0.6873628199100494,0.4114,,new,https://www.adzuna.com/details/5401628638?utm_medium=api&utm_source=e1a466cc,37.304,-121.89093
adzuna:5403331018,"Staff Program Manager, Autonomous Vehicle & Active Safety",General Motors,,"Mountain View, Santa Clara County",,hybrid,2025-09-17,,,97648.27,97648.27,USD,yearly,,97648.27,97648.27,,,0.0,0.6385684013366699,0.4145,,new,https://www.adzuna.com/details/5403331018?utm_medium=api&utm_source=e1a466cc,37.39308,-122.07702
adzuna:5405277678,"Technical Program Manager, Manufacturing Engineering and Systems, Data Centers",Google,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,full_time,,183000.0,271000.0,USD,yearly,,183000.0,271000.0,,,0.0,0.5432924330234528,0.407,,new,https://www.adzuna.com/details/5405277678?utm_medium=api&utm_source=e1a466cc,37.38953,-122.018391
adzuna:5402546026,Sr Software Engineering Program Manager - Hardware Test Engineering,Apple,,"Cupertino, Santa Clara County",,onsite,2025-09-16,,,176013.45,176013.45,USD,yearly,,176013.45,176013.45,,,0.0,0.6257234662771225,0.3899,,new,https://www.adzuna.com/details/5402546026?utm_medium=api&utm_source=e1a466cc,37.322998,-122.032182
adzuna:5405997103,"Technical Program Manager III, Hardware Compliance, Cloud AI Systems",Google,,"Sunnyvale, Santa Clara County",,onsite,2025-09-18,full_time,,156000.0,229000.0,USD,yearly,,156000.0,229000.0,,,0.0,0.5873282700777054,0.4224,"program management, risk management, compliance",new,https://www.adzuna.com/details/5405997103?utm_medium=api&utm_source=e1a466cc,37.38953,-122.018391
